ID,CITY_NAME,CNTRY_NAME,STATUS,FIPS_CNTRY,POP,POP_RANK,POP_CLASS
1613,Chios,Greece,Provincial capital,GR,23953,7,Less than 50;000
1614,Wloclawek,Poland,Provincial capital,PL,120339,5,100;000 to 249;999
1615,Mus,Turkey,Provincial capital,TU,82536,6,50;000 to 99;999
1616,Poznan,Poland,Provincial capital,PL,570352,3,500;000 to 999;999
1617,Aydin,Turkey,Provincial capital,TU,163022,5,100;000 to 249;999
1618,Bitlis,Turkey,Provincial capital,TU,-999,7,Less than 50;000
1619,Naples,Italy,Other,IT,988972,3,500;000 to 999;999
1620,Vilnius,Lithuania,National capital,LH,542366,3,500;000 to 999;999
1621,Konin,Poland,Provincial capital,PL,81258,6,50;000 to 99;999
1622,Potenza,Italy,Provincial capital,IT,69060,6,50;000 to 99;999
1623,Iraklion,Greece,Provincial capital,GR,137154,5,100;000 to 249;999
1624,Suwalki,Poland,Provincial capital,PL,69222,6,50;000 to 99;999
1625,Kalisz,Poland,Provincial capital,PL,108759,5,100;000 to 249;999
1626,Siirt,Turkey,Provincial capital,TU,114034,5,100;000 to 249;999
1627,Hrodna,Belarus,Provincial capital,BO,317365,4,250;000 to 499;999
1628,Wroclaw,Poland,Provincial capital,PL,634893,3,500;000 to 999;999
1629,Catanzaro,Italy,Provincial capital,IT,95251,6,50;000 to 99;999
1630,Bialystok,Poland,Provincial capital,PL,291855,4,250;000 to 499;999
1631,Diyarbakir,Turkey,Provincial capital,TU,644763,3,500;000 to 999;999
1632,Palermo,Italy,Provincial capital,IT,672175,3,500;000 to 999;999
1633,Brest,Belarus,Provincial capital,BO,300715,4,250;000 to 499;999
1634,Athens,Greece,National capital,GR,729137,3,500;000 to 999;999
1635,Mardin,Turkey,Provincial capital,TU,71373,6,50;000 to 99;999
1636,Opole,Poland,Provincial capital,PL,127676,5,100;000 to 249;999
1637,Biala Podlaska,Poland,Provincial capital,PL,57541,6,50;000 to 99;999
1638,Al-Hasakah,Syria,Provincial capital,SY,-999,7,Less than 50;000
1639,Komatini,Greece,Provincial capital,GR,-999,7,Less than 50;000
1640,Lublin,Poland,Provincial capital,PL,360044,4,250;000 to 499;999
1641,Chelm,Poland,Provincial capital,PL,68043,6,50;000 to 99;999
1642,Valletta,Malta,National capital,MT,6794,7,Less than 50;000
